dataset,max_features,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.25,0.14601769911504425,0.8190351772769355,0.05424845452454052,0.5500832759099339,0.10992135434685316,0.5316483516483517,0.0879928200735414
arrhythmia,0.5,0.14601769911504425,0.8129233403958679,0.05698039107492754,0.5671628952571532,0.11118070420883938,0.48223013545594196,0.0749666974919407
arrhythmia,0.75,0.14601769911504425,0.79507452254705,0.04409795418376943,0.5269689701244238,0.08995215949811779,0.48844603672189885,0.08447627477623755
arrhythmia,1.0,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
breastw,0.25,0.34992679355783307,0.9899074604821825,0.002403398265923932,0.9775343768289557,0.007489217448447853,0.9338936812742473,0.014219094806519684
breastw,0.5,0.34992679355783307,0.9889796316620665,0.00635091855550619,0.9763826045200272,0.015508527966564174,0.9376805377499047,0.014911140360207319
breastw,0.75,0.34992679355783307,0.9882799086671158,0.008106525742382863,0.9731604897930521,0.022041399959641512,0.9441717104533864,0.010074119353675658
breastw,1.0,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
cardio,0.25,0.0961223375204806,0.909556898288016,0.01419370244619785,0.5374832069631506,0.06728047171077971,0.4903020992777689,0.06435432445219803
cardio,0.5,0.0961223375204806,0.9311058360907303,0.021165502070680218,0.5909528521239891,0.09836482110324316,0.5427316893976554,0.08286894785768693
cardio,0.75,0.0961223375204806,0.9282640387474224,0.01849817250470337,0.5728044857412902,0.08439780694970733,0.5395463811443442,0.07732115550120282
cardio,1.0,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
mammography,0.25,0.023249575248144506,0.851417469097235,0.023610600663440964,0.2316412408789022,0.06410756688310702,0.24737586744246012,0.07723223804009144
mammography,0.5,0.023249575248144506,0.8683072164589504,0.01671990209810011,0.2844494669406595,0.0710817704589119,0.30405343989822997,0.04774661931994325
mammography,0.75,0.023249575248144506,0.8652033527992865,0.019310709232977837,0.25171670046770755,0.05059043687157045,0.276887844914233,0.038457300619144916
mammography,1.0,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
satellite,0.25,0.3163947163947164,0.7096602607865863,0.014763293121939523,0.6683110850758736,0.015947185184920925,0.5774028318465178,0.009017675046679824
satellite,0.5,0.3163947163947164,0.6963383518253387,0.01913443234199358,0.670873119459533,0.015312931260270373,0.5707998317480972,0.018985495086358342
satellite,0.75,0.3163947163947164,0.714750648149564,0.01657758803252938,0.669658998051312,0.017947177831876923,0.5685281622698232,0.01992061348406988
satellite,1.0,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
shuttle,0.25,0.0715114976475141,0.9968393302417127,0.0007824514571283812,0.9760886557868493,0.0027976946109558054,0.9499276191635397,0.009184031767210651
shuttle,0.5,0.0715114976475141,0.9972335037377181,0.0006990305792875719,0.9776879157994909,0.002214698049748302,0.9525586377863264,0.007484577400528171
shuttle,0.75,0.0715114976475141,0.9977683111463062,0.0005406089041342157,0.9796168411854564,0.0037526487394730795,0.9579219876687244,0.010126172604765435
shuttle,1.0,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
fcps_target,0.25,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.5,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,0.75,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,1.0,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
graves_fuzzyx,0.25,0.138,0.2440826837822402,0.06598396047513087,0.09062149946986195,0.00727685755357327,0.0,0.0
graves_fuzzyx,0.5,0.138,0.2440826837822402,0.06598396047513087,0.09062149946986195,0.00727685755357327,0.0,0.0
graves_fuzzyx,0.75,0.138,0.2440826837822402,0.06598396047513087,0.09062149946986195,0.00727685755357327,0.0,0.0
graves_fuzzyx,1.0,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_ring_outliers,0.25,0.02912621359223301,0.9996666666666666,0.000666666666666682,0.9896825396825397,0.02063492063492065,0.9846153846153847,0.03076923076923075
graves_ring_outliers,0.5,0.02912621359223301,0.9996666666666666,0.000666666666666682,0.9896825396825397,0.02063492063492065,0.9846153846153847,0.03076923076923075
graves_ring_outliers,0.75,0.02912621359223301,0.9996666666666666,0.000666666666666682,0.9896825396825397,0.02063492063492065,0.9846153846153847,0.03076923076923075
graves_ring_outliers,1.0,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_zigzag_outliers,0.25,0.10714285714285714,0.9606666666666666,0.012892719737209131,0.6345238095238095,0.06383427124149872,0.7884615384615385,0.06771852639099621
graves_zigzag_outliers,0.5,0.10714285714285714,0.9606666666666666,0.012892719737209131,0.6345238095238095,0.06383427124149872,0.7884615384615385,0.06771852639099621
graves_zigzag_outliers,0.75,0.10714285714285714,0.9606666666666666,0.012892719737209131,0.6345238095238095,0.06383427124149872,0.7884615384615385,0.06771852639099621
graves_zigzag_outliers,1.0,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
sipu_flame,0.25,0.05,0.3001610305958132,0.1742951831318148,0.16885815590694064,0.1849292753729803,0.09444444444444444,0.11600340565456166
sipu_flame,0.5,0.05,0.3001610305958132,0.1742951831318148,0.16885815590694064,0.1849292753729803,0.09444444444444444,0.11600340565456166
sipu_flame,0.75,0.05,0.3001610305958132,0.1742951831318148,0.16885815590694064,0.1849292753729803,0.09444444444444444,0.11600340565456166
sipu_flame,1.0,0.05,0.39639291465378423,0.17972531954471938,0.24067517806752575,0.2333086429098353,0.13714285714285715,0.17180910146711897
wut_x2,0.25,0.08333333333333333,0.7954545454545454,0.12026142323020868,0.495530303030303,0.21911526961261843,0.27142857142857146,0.24074713637646739
wut_x2,0.5,0.08333333333333333,0.7954545454545454,0.12026142323020868,0.495530303030303,0.21911526961261843,0.27142857142857146,0.24074713637646739
wut_x2,0.75,0.08333333333333333,0.7954545454545454,0.12026142323020868,0.495530303030303,0.21911526961261843,0.27142857142857146,0.24074713637646739
wut_x2,1.0,0.08333333333333333,0.9272727272727274,0.06649426744694455,0.6535714285714286,0.27074894027887075,0.4666666666666666,0.24494897427831783
